timestamp,open,high,low,close,volume
2018-08-07,71.6,71.9,71.39,71.59,732694
2018-08-06,71.5,71.72,71.35,71.54,651507
2018-08-03,71.15,71.46,70.88,71.46,534278
2018-08-02,70.86,71.23,70.36,71.15,923296
2018-08-01,71.39,71.4225,70.87,71.34,912244
2018-07-31,71.24,71.45,71.005,71.35,1493066
2018-07-30,71.04,71.7,70.981,71.14,935476
2018-07-27,71.5,73.11,70.8,70.89,1338880
2018-07-26,71.32,71.43,71.01,71.2,1401778
2018-07-25,70.38,71.24,70.37,71.16,914274
2018-07-24,71.0,71.0,70.375,70.51,863199
2018-07-23,70.39,71.0,70.13,70.79,918487
2018-07-20,70.06,70.57,69.88,70.39,875808
2018-07-19,70.14,70.64,70.14,70.3,932429
2018-07-18,69.7,70.54,69.55,70.5,887276
2018-07-17,69.76,69.87,69.19,69.69,586010
2018-07-16,68.88,69.57,68.82,69.46,810786
2018-07-13,68.6,68.925,68.41,68.86,564305
2018-07-12,68.5,68.71,68.1,68.66,754796
2018-07-11,67.9,68.33,67.87,68.19,784224
2018-07-10,67.95,68.11,67.71,68.04,664712
2018-07-09,66.91,68.23,66.91,68.17,721448
2018-07-06,66.15,67.22,66.01,66.81,881937
2018-07-05,65.8,66.12,65.4,66.09,754150
2018-07-03,65.7,66.36,65.44,65.53,456975
2018-07-02,65.03,65.68,64.9968,65.26,1026217
2018-06-29,65.43,65.79,64.92,65.28,1891399
2018-06-28,64.77,65.38,64.54,65.12,712581
2018-06-27,65.89,66.25,64.75,64.77,685563
2018-06-26,66.45,66.45,65.86,66.03,632503
2018-06-25,66.62,66.83,65.96,66.38,959980
2018-06-22,66.0,67.14,65.72,66.74,3519848
2018-06-21,65.36,65.75,65.16,65.52,1342202
2018-06-20,66.11,66.45,65.42,65.55,936358
2018-06-19,65.85,66.35,65.75,66.02,903387
2018-06-18,65.85,66.56,65.47,66.39,1001440
2018-06-15,65.78,65.9,64.78,65.81,1618322
2018-06-14,66.52,66.55,65.79,65.98,741302
2018-06-13,66.5,67.11,66.15,66.16,942756
2018-06-12,67.3,67.3,66.35,66.37,711470
2018-06-11,67.91,67.96,67.12,67.24,833680
2018-06-08,67.23,67.79,67.155,67.78,527333
2018-06-07,67.0,67.32,66.84,67.24,552108
2018-06-06,66.58,66.92,66.29,66.91,721203
2018-06-05,66.34,66.51,65.79,66.4,534649
2018-06-04,66.56,66.76,66.25,66.47,699676
2018-06-01,66.93,67.09,66.2,66.23,1136391
2018-05-31,66.5,67.005,66.1,66.28,1418236
2018-05-30,66.23,67.26,66.17,66.98,1226871
2018-05-29,66.94,67.23,65.47,65.8,1038961
