timestamp,open,high,low,close,volume
2018-08-07,116.57,117.9,116.24,116.56,15383545
2018-08-06,114.66,116.84,114.16,115.94,12715611
2018-08-03,113.2,114.095,112.4,114.09,4747467
2018-08-02,112.5,113.32,111.68,112.75,4027577
2018-08-01,113.68,113.83,112.59,112.97,6466570
2018-07-31,112.55,114.05,112.36,113.56,8421188
2018-07-30,112.2,113.335,112.05,112.63,5199310
2018-07-27,114.0,114.05,111.92,112.62,5717232
2018-07-26,112.15,114.5617,111.68,113.51,9466376
2018-07-25,110.64,111.42,109.63,111.18,6750450
2018-07-24,111.84,111.89,110.54,110.7,5649108
2018-07-23,111.05,111.21,110.335,111.09,5447781
2018-07-20,112.15,112.2,110.83,111.48,11805204
2018-07-19,111.54,114.68,111.3,112.13,17796796
2018-07-18,110.31,111.06,109.65,110.69,6414101
2018-07-17,110.26,112.62,110.085,110.3,9075939
2018-07-16,109.82,110.45,108.77,110.2,8245935
2018-07-13,108.0,110.24,107.66,110.0,8188898
2018-07-12,108.05,109.2,107.82,108.25,5931413
2018-07-11,105.32,109.34,105.32,108.04,11753824
2018-07-10,106.25,106.57,104.83,106.03,4213638
2018-07-09,105.01,106.07,104.75,106.02,4725229
2018-07-06,104.5,105.04,104.04,104.78,4134897
2018-07-05,104.7,105.602,104.43,105.34,6202815
2018-07-03,105.88,105.95,103.5,104.04,2406267
2018-07-02,104.15,105.37,103.9,105.33,5489341
2018-06-29,104.93,105.68,104.65,104.81,6774510
2018-06-28,103.91,105.1198,103.6753,104.77,6304015
2018-06-27,104.5,105.88,103.4801,103.96,8800308
2018-06-26,104.46,104.71,103.91,104.26,6549998
2018-06-25,106.0,106.08,103.74,104.45,7995781
2018-06-22,106.07,106.8,105.81,106.34,9285729
2018-06-21,107.01,107.25,105.791,105.89,7707762
2018-06-20,107.0,107.9,105.8101,107.15,18625882
2018-06-19,105.87,106.99,105.76,106.1,8869452
2018-06-18,107.0,107.475,106.5,107.06,9288554
2018-06-15,108.17,109.42,107.85,108.85,16169231
2018-06-14,106.45,109.49,106.45,108.75,18068650
2018-06-13,103.2,107.88,102.67,106.31,22009406
2018-06-12,104.73,105.22,103.9639,104.33,9215266
2018-06-11,103.93,104.79,103.75,104.35,8174996
2018-06-08,102.09,103.99,101.8282,103.98,7090310
2018-06-07,101.91,102.96,101.81,102.47,7559222
2018-06-06,100.06,101.94,99.76,101.91,7832969
2018-06-05,100.36,100.51,99.78,99.94,5974427
2018-06-04,99.76,100.5,99.7,100.24,6597970
2018-06-01,99.69,100.05,99.2,99.36,6847726
2018-05-31,99.76,100.1368,98.809,99.47,9620045
2018-05-30,100.5,100.55,99.42,99.98,7216355
2018-05-29,100.55,101.65,99.38,99.69,11270381
2018-05-25,102.25,103.0,101.97,102.2,6982728
2018-05-24,102.81,102.86,101.21,102.11,7474093
2018-05-23,103.2,103.34,102.07,102.89,8046577
2018-05-22,104.4,105.49,103.99,104.07,6971590
2018-05-21,104.22,104.6799,103.61,104.06,5848704
2018-05-18,104.34,104.79,103.56,103.93,5427333
2018-05-17,105.23,105.48,104.091,104.34,7320587
2018-05-16,103.25,105.04,103.15,105.04,8111594
2018-05-15,102.44,103.315,102.101,102.92,5762417
2018-05-14,102.44,103.49,101.98,102.44,9891859
2018-05-11,101.89,102.21,101.26,102.07,7035978
2018-05-10,100.43,102.0683,100.3,101.68,8927290
2018-05-09,102.25,102.27,99.3,99.97,18345683
2018-05-08,101.2,102.64,100.84,101.79,14229528
2018-05-07,102.35,102.68,101.72,102.48,10181123
2018-05-04,98.71,101.35,98.58,101.15,9980116
2018-05-03,99.11,99.25,97.68,98.76,10450776
2018-05-02,100.17,100.7213,99.25,99.62,9286374
2018-05-01,100.18,100.7,98.93,100.06,6716152
2018-04-30,100.41,101.3736,100.12,100.33,8558854
2018-04-27,99.78,99.99,98.94,99.23,8037978
2018-04-26,101.23,101.38,99.74,99.84,8038439
2018-04-25,99.5,101.49,99.05,101.15,8977218
2018-04-24,100.58,100.85,98.86,99.46,6567697
2018-04-23,100.55,100.72,99.53,100.15,5889804
2018-04-20,101.18,101.4,99.905,100.24,6396903
2018-04-19,101.0,101.5799,100.22,100.89,6803405
2018-04-18,102.67,102.71,101.2,101.21,5822056
