timestamp,open,high,low,close,volume
2018-08-07,83.0,83.77,82.37,83.09,1259609
2018-08-06,82.42,82.89,82.11,82.66,928070
2018-08-03,82.12,82.39,81.49,82.24,862858
2018-08-02,80.6,82.09,80.3,81.78,1230407
2018-08-01,82.68,82.98,81.12,81.42,1112710
2018-07-31,81.63,83.17,81.42,82.98,2858881
2018-07-30,81.1,82.11,80.88,81.01,1725566
2018-07-27,81.35,81.69,80.235,80.86,1760343
2018-07-26,81.12,82.39,81.12,81.25,2332759
2018-07-25,79.02,81.02,78.84,80.86,1798868
2018-07-24,79.11,79.78,78.74,79.2,2222216
2018-07-23,79.61,79.98,77.81,78.7,3211771
2018-07-20,77.74,81.485,77.5921,80.24,4172298
2018-07-19,77.69,78.6,75.54,78.12,4095625
2018-07-18,74.67,74.8,73.73,74.19,2426669
2018-07-17,74.0,74.67,73.61,74.53,1085943
2018-07-16,74.91,75.18,73.91,74.1,1459352
2018-07-13,73.73,75.06,73.73,74.91,998822
2018-07-12,73.73,74.27,73.47,73.89,1139452
2018-07-11,73.59,74.02,73.19,73.34,799435
2018-07-10,74.62,75.2481,74.1,74.66,818710
2018-07-09,73.21,74.6,73.11,74.47,988503
2018-07-06,72.85,73.22,72.35,72.9,913105
2018-07-05,73.58,73.6029,72.19,72.99,1214615
2018-07-03,73.3,73.68,72.7,73.23,946204
2018-07-02,72.335,72.99,71.84,72.92,1096607
2018-06-29,73.27,74.1,73.09,73.2,1348440
2018-06-28,72.55,73.23,71.7134,72.77,1474050
2018-06-27,73.01,74.1511,72.43,72.45,1417397
2018-06-26,73.34,73.42,72.56,72.76,1367398
2018-06-25,72.57,73.4,72.03,73.08,1537640
2018-06-22,73.44,73.97,72.89,72.94,2059771
2018-06-21,73.38,73.44,71.9205,72.47,1522364
2018-06-20,74.63,74.7399,73.08,73.56,1647911
2018-06-19,75.65,75.69,74.16,74.43,1631789
2018-06-18,75.99,76.82,75.62,76.49,2010590
2018-06-15,76.02,76.875,75.08,76.82,2742629
2018-06-14,77.94,78.29,75.59,76.06,2986097
2018-06-13,78.61,78.73,77.6862,77.79,1184163
2018-06-12,78.92,79.11,78.5159,78.63,1066119
2018-06-11,78.88,79.4783,78.79,79.0,718240
2018-06-08,79.0,79.17,78.47,78.92,923781
2018-06-07,78.97,79.74,78.54,78.93,1577388
2018-06-06,78.58,78.77,78.23,78.77,1339754
2018-06-05,78.32,78.77,78.0,78.35,1227123
2018-06-04,78.44,78.81,77.62,78.3,1580922
2018-06-01,78.0,78.43,77.5435,77.96,1206012
2018-05-31,78.72,78.72,76.6678,77.21,1771145
2018-05-30,78.28,78.99,77.78,78.76,1294405
2018-05-29,78.41,78.97,77.38,77.87,1871689
2018-05-25,79.78,80.19,79.0,79.14,1691217
2018-05-24,79.36,80.5,79.1325,80.23,1359522
2018-05-23,78.68,79.99,78.59,79.75,1985293
2018-05-22,80.57,80.655,79.09,79.11,853356
2018-05-21,79.57,80.75,79.57,80.39,1466541
2018-05-18,77.68,79.56,77.62,79.02,1775266
2018-05-17,77.6,78.34,77.03,77.76,1165906
2018-05-16,77.4,78.08,77.015,77.6,1445944
2018-05-15,77.37,77.37,76.6,76.95,1539902
2018-05-14,77.27,78.82,77.27,77.76,2396442
2018-05-11,76.34,77.23,76.0,77.13,1730295
2018-05-10,76.82,77.34,76.32,76.68,1883806
2018-05-09,76.0,77.37,75.74,76.89,4450701
2018-05-08,92.72,93.885,92.01,93.74,2534616
2018-05-07,91.83,93.21,91.63,92.56,1231822
2018-05-04,89.13,92.16,88.8,91.51,1526474
2018-05-03,89.45,89.97,87.96,89.52,1834502
2018-05-02,91.66,92.3992,89.62,89.77,2025297
2018-05-01,92.27,92.62,90.43,91.85,1693039
2018-04-30,94.97,95.62,92.32,92.7,3212522
2018-04-27,88.1,97.04,86.79,95.34,3625636
2018-04-26,94.79,94.99,93.22,94.13,3005954
2018-04-25,92.68,95.35,92.03,94.94,2913467
2018-04-24,95.87,96.71,91.955,92.49,2583250
2018-04-23,95.96,95.97,94.6569,95.12,1399299
2018-04-20,96.02,96.46,95.18,96.02,1317571
2018-04-19,95.82,97.42,95.49,96.0,1440835
2018-04-18,94.94,96.55,94.43,95.99,1609289
2018-04-17,94.75,95.25,93.94,94.0,1325972
2018-04-16,94.74,94.895,94.22,94.3,1052909
2018-04-13,94.93,94.9599,93.56,93.86,1207972
2018-04-12,94.0,94.5,93.12,93.69,1427830
2018-04-11,93.74,94.55,93.27,93.55,882861
2018-04-10,94.48,95.47,94.0,94.54,1426207
2018-04-09,93.63,94.71,92.91,93.0,1361578
2018-04-06,96.71,96.98,92.28,93.19,1795251
2018-04-05,97.71,98.63,96.85,97.69,1114170
2018-04-04,94.87,97.28,94.44,97.13,1436210
2018-04-03,96.23,96.665,95.19,96.49,1850636
2018-04-02,97.93,98.25,94.45,95.87,1132495
2018-03-29,96.86,98.93,96.31,98.22,1577828
2018-03-28,98.27,98.32,95.76,96.21,1635587
2018-03-27,100.24,100.24,97.43,98.11,2046334
2018-03-26,98.33,100.085,96.93,99.81,1898041
2018-03-23,99.34,100.33,98.195,98.35,4088280
2018-03-22,102.0,102.0,98.82,98.98,3078425
2018-03-21,104.22,104.22,102.33,103.07,3009349
2018-03-20,100.48,104.74,100.1,103.91,5024652
2018-03-19,99.82,100.07,98.76,99.9,1109112
2018-03-16,99.2,100.41,98.57,100.08,1649043
2018-03-15,99.33,99.78,98.46,99.12,742638
2018-03-14,101.32,101.32,98.67,99.0,951393
2018-03-13,102.24,102.82,100.19,100.62,854383
2018-03-12,102.59,102.59,100.88,101.5,949154
2018-03-09,100.83,102.96,100.705,102.69,1050142
2018-03-08,99.79,100.25,98.71,100.19,680384
2018-03-07,99.08,99.9,98.11,99.51,830123
2018-03-06,99.18,100.16,98.93,100.01,1096009
2018-03-05,97.41,98.92,97.04,98.57,1044103
2018-03-02,97.2,98.32,96.77,97.97,1015489
2018-03-01,99.96,100.3,97.4,97.9,1231393
2018-02-28,102.36,102.4699,100.09,100.1,928564
2018-02-27,104.27,104.65,101.87,101.94,1208274
2018-02-26,103.47,104.6,102.85,104.39,1153414
2018-02-23,102.81,102.81,100.96,102.73,754260
2018-02-22,100.74,103.005,100.5,102.06,1468220
2018-02-21,100.22,102.28,99.95,99.98,704733
2018-02-20,100.79,101.36,99.8,100.21,726172
2018-02-16,101.46,102.59,101.06,101.21,759653
2018-02-15,101.07,101.64,99.87,101.59,1018102
2018-02-14,96.22,100.04,96.22,99.69,1170046
2018-02-13,97.78,98.64,97.33,98.12,830725
2018-02-12,98.27,99.35,97.3,98.27,1051677
2018-02-09,97.52,98.4899,94.33,97.35,1772507
2018-02-08,100.04,100.04,96.12,96.2,1551388
2018-02-07,99.56,101.4518,99.195,99.92,1471410
2018-02-06,98.04,100.49,95.68,99.83,2116000
2018-02-05,102.84,104.56,98.52,98.57,1467089
2018-02-02,105.05,105.16,102.88,103.22,1553722
2018-02-01,105.7,107.0,104.58,105.34,2066022
2018-01-31,107.15,109.06,105.7,106.21,2462691
2018-01-30,102.72,107.44,101.08,107.05,3555227
2018-01-29,104.72,105.48,103.48,103.68,1708493
2018-01-26,104.85,105.08,103.91,105.04,1039072
2018-01-25,105.2,105.465,103.75,104.43,1323407
2018-01-24,106.0,106.41,104.04,104.78,765630
2018-01-23,104.37,105.95,104.37,105.56,1002795
2018-01-22,104.57,105.0,103.56,104.84,773420
2018-01-19,104.33,104.95,104.08,104.41,1229372
2018-01-18,104.5,104.5,103.35,103.99,531502
2018-01-17,103.88,104.84,103.25,104.34,627217
2018-01-16,104.91,104.91,102.74,103.36,794447
2018-01-12,104.0,104.5609,103.48,104.14,471895
2018-01-11,103.18,103.73,102.57,103.51,762065
2018-01-10,103.83,103.83,102.54,102.7,683716
2018-01-09,102.73,104.2,102.685,104.05,897504
2018-01-08,102.35,102.85,102.085,102.44,944923
2018-01-05,103.57,103.63,101.94,102.38,1164487
2018-01-04,103.0,103.77,102.49,103.1,983415
2018-01-03,101.68,102.75,101.01,102.51,854748
2018-01-02,101.45,101.85,100.71,101.69,839183
2017-12-29,101.82,102.06,100.98,100.99,518046
2017-12-28,101.52,101.85,100.77,101.44,501639
2017-12-27,100.97,101.6,100.66,101.14,553306
2017-12-26,100.65,101.6299,100.36,101.12,534906
2017-12-22,100.5,101.05,100.07,100.46,597039
2017-12-21,99.53,101.17,99.42,100.86,885430
2017-12-20,100.02,100.61,99.47,99.51,866276
2017-12-19,99.02,100.14,98.3,99.54,1301894
2017-12-18,97.95,99.56,97.86,99.27,1145148
2017-12-15,96.7,97.94,96.295,97.48,1668431
2017-12-14,96.69,96.86,95.58,95.75,711371
2017-12-13,97.04,97.27,96.1,96.18,833527
