timestamp,open,high,low,close,volume
2018-08-07,81.12,81.18,80.0,80.88,2629367
2018-08-06,81.57,82.22,80.8,81.12,3285569
2018-08-03,80.52,81.72,80.2881,81.55,3122260
2018-08-02,80.63,81.2,79.51,80.45,4075561
2018-08-01,81.14,81.44,80.14,81.05,3478532
2018-07-31,81.2,81.71,80.76,81.62,3691138
2018-07-30,80.85,81.2,80.6,80.77,2307058
2018-07-27,81.0,81.7,80.7481,81.09,2097241
2018-07-26,80.45,81.34,80.41,81.14,2812044
2018-07-25,79.79,80.6204,79.69,80.18,2581298
2018-07-24,80.1,80.14,78.78,79.89,4065535
2018-07-23,81.23,81.23,79.67,79.97,2844934
2018-07-20,81.06,81.33,80.0,80.65,3014250
2018-07-19,80.63,81.745,80.51,81.2,3009390
2018-07-18,80.74,80.74,79.9,80.44,3103353
2018-07-17,80.94,81.0,80.54,80.65,2271416
2018-07-16,80.69,80.98,80.08,80.78,4171480
2018-07-13,80.67,80.93,79.98,80.62,3366172
2018-07-12,80.41,80.6418,80.1,80.5,3655436
2018-07-11,79.71,80.575,79.69,80.38,3920950
2018-07-10,78.42,79.935,77.9,79.52,3763176
2018-07-09,81.59,81.59,78.37,78.64,4505739
2018-07-06,80.58,81.7,80.49,81.62,2963063
2018-07-05,79.96,80.62,79.607,80.61,3964630
2018-07-03,79.76,80.425,79.4477,79.81,2568588
2018-07-02,79.21,79.8601,78.9,79.76,2570014
2018-06-29,79.06,79.54,78.5101,79.08,3384974
2018-06-28,79.75,80.15,79.1,79.23,2659398
2018-06-27,78.76,79.71,78.5,79.52,3978426
2018-06-26,78.98,79.525,78.65,78.79,4402452
2018-06-25,77.5,79.17,77.47,79.08,4768161
2018-06-22,76.9,77.67,76.76,77.43,3281154
2018-06-21,76.19,77.18,76.07,76.91,4198676
2018-06-20,76.29,76.6,75.771,76.19,3660943
2018-06-19,74.73,75.85,74.5929,75.67,4039412
2018-06-18,74.28,74.65,74.04,74.41,3233011
2018-06-15,73.29,74.395,73.1,74.3,6492953
2018-06-14,72.5,73.675,72.37,73.46,5079884
2018-06-13,72.54,72.88,72.01,72.25,5618236
2018-06-12,72.13,72.85,71.98,72.48,4694244
2018-06-11,73.02,73.24,71.96,72.12,4922390
2018-06-08,73.54,73.76,72.87,73.12,3268522
2018-06-07,73.14,74.275,72.83,73.48,3289769
2018-06-06,74.72,74.86,73.0,73.14,3949466
2018-06-05,75.44,75.51,74.58,74.75,2497265
2018-06-04,76.33,76.5,75.34,75.37,3234528
2018-06-01,77.12,77.15,75.53,76.08,3403158
2018-05-31,76.94,77.57,76.461,77.16,3587759
2018-05-30,76.27,77.19,76.04,76.98,2620788
2018-05-29,75.76,77.04,75.49,76.6,4468632
2018-05-25,75.74,76.02,75.58,75.81,2262642
2018-05-24,74.87,75.8,74.64,75.74,4162677
2018-05-23,74.33,75.05,74.19,74.87,2901126
2018-05-22,73.43,74.305,73.4,74.07,2957274
2018-05-21,73.98,74.055,73.35,73.68,3301740
2018-05-18,74.27,74.55,73.13,73.8,3721035
2018-05-17,75.05,75.28,73.91,74.15,3474784
2018-05-16,76.93,77.0712,75.5,76.03,5483398
2018-05-15,77.35,77.66,76.57,76.93,3889087
2018-05-14,78.07,78.218,77.355,77.83,3972468
2018-05-11,78.21,78.4,77.53,77.91,4231040
2018-05-10,78.8,79.48,77.54,78.16,4605267
2018-05-09,77.81,77.95,76.88,77.64,3853512
2018-05-08,79.31,79.39,77.63,77.88,4333405
2018-05-07,79.87,80.13,79.44,79.5,2901410
2018-05-04,79.77,80.41,79.58,79.88,3853872
2018-05-03,79.75,80.09,78.82,79.76,3522555
