timestamp,open,high,low,close,volume
2018-08-07,50.99,51.61,50.58,51.05,2216464
2018-08-06,50.39,50.81,50.16,50.5,2178101
2018-08-03,49.35,51.32,49.35,50.36,4040626
2018-08-02,48.75,49.55,48.59,49.49,2393956
2018-08-01,49.0,49.8255,48.72,49.2,2623922
2018-07-31,49.69,50.67,49.0,49.68,3113110
2018-07-30,49.52,50.36,49.09,49.69,4331793
2018-07-27,54.05,54.6,49.76,49.85,6554367
2018-07-26,56.33,56.61,53.85,54.34,5346726
2018-07-25,55.29,55.88,54.45,55.43,2597125
2018-07-24,55.27,55.62,54.69,55.0,1934768
2018-07-23,55.75,55.99,54.81,54.91,1914478
2018-07-20,55.79,55.96,55.13,55.68,3249952
2018-07-19,54.09,55.97,54.09,55.69,2573149
2018-07-18,54.81,55.1,54.24,54.87,1686574
2018-07-17,54.67,55.26,54.09,54.94,1375561
2018-07-16,54.93,55.46,54.39,54.87,2644538
2018-07-13,55.06,56.42,54.42,55.52,2369022
2018-07-12,55.9,55.9,54.7,55.23,2081377
2018-07-11,55.98,57.34,55.62,55.81,2417436
2018-07-10,57.16,57.265,56.08,56.4,1997658
2018-07-09,56.36,56.95,55.74,56.89,2091340
2018-07-06,54.94,56.16,54.87,55.92,1285011
2018-07-05,54.75,55.32,54.44,54.97,1967640
2018-07-03,55.18,55.36,54.15,54.5,1094198
2018-07-02,54.5,54.66,53.75,54.45,1708139
2018-06-29,56.35,57.39,55.0,55.18,2635107
2018-06-28,55.44,56.52,54.94,56.24,3389320
2018-06-27,55.52,56.29,54.82,54.97,2615150
2018-06-26,53.76,55.09,53.25,55.05,2773798
2018-06-25,53.6,54.38,53.24,53.81,3964053
2018-06-22,56.63,57.02,53.43,53.68,6729106
2018-06-21,56.44,57.06,55.69,55.95,2090677
2018-06-20,57.06,57.36,56.07,56.78,2888026
2018-06-19,54.97,56.51,54.75,56.45,2678406
2018-06-18,55.27,56.64,55.17,55.9,3231620
2018-06-15,55.81,56.26,55.38,55.46,5333345
2018-06-14,57.15,57.29,56.09,56.16,3346739
2018-06-13,55.76,57.3594,55.69,56.79,3957654
2018-06-12,54.29,55.65,54.2,55.5,3485177
2018-06-11,53.37,54.48,53.02,54.22,1813491
2018-06-08,53.16,53.78,52.37,53.12,1876343
2018-06-07,52.0,53.31,51.93,53.15,2303324
2018-06-06,51.02,51.89,50.77,51.69,2069893
2018-06-05,50.02,50.99,49.52,50.73,2139245
2018-06-04,52.04,52.15,50.21,50.53,1977288
2018-06-01,51.66,52.6,51.25,51.91,2696034
2018-05-31,50.9,52.37,50.52,51.54,3128832
2018-05-30,49.82,51.2796,49.39,51.23,1999369
2018-05-29,49.46,50.33,48.95,49.47,1962572
2018-05-25,49.83,50.32,49.32,50.23,2804859
2018-05-24,51.68,52.2,50.63,50.83,2236139
2018-05-23,52.18,52.86,51.43,52.19,2427336
2018-05-22,54.15,54.61,52.34,52.55,3048113
2018-05-21,53.16,53.72,52.79,53.68,2285328
2018-05-18,53.79,53.79,52.47,52.64,2742509
2018-05-17,53.7,54.17,52.86,53.94,2431396
2018-05-16,52.21,53.79,51.85,53.55,3867512
2018-05-15,51.76,52.25,50.91,52.25,2976391
2018-05-14,51.18,52.01,50.97,51.69,2300440
2018-05-11,51.65,51.65,50.48,50.8,2292904
2018-05-10,51.58,51.76,50.37,51.65,2526679
2018-05-09,51.2,52.67,50.82,51.24,4170394
2018-05-08,49.36,50.55,48.26,50.54,2936007
2018-05-07,49.47,50.86,48.9601,49.4,3177693
2018-05-04,47.09,48.9,47.0361,48.63,2110623
2018-05-03,48.96,49.61,46.94,47.09,3637544
2018-05-02,49.76,50.795,49.36,49.79,3131799
2018-05-01,50.06,51.21,49.705,50.22,3731739
2018-04-30,49.61,50.735,49.2866,50.19,3268456
2018-04-27,51.12,51.69,49.8101,49.96,3927253
2018-04-26,47.78,51.72,46.87,50.94,10516170
2018-04-25,46.35,47.18,46.0,46.95,2389096
2018-04-24,47.99,48.13,46.3,46.65,2544361
2018-04-23,47.07,47.99,46.52,47.94,2057623
2018-04-20,47.98,47.98,46.631,47.36,3412844
2018-04-19,48.99,49.38,48.18,48.22,1661145
2018-04-18,49.69,50.2,49.1,49.14,1780466
2018-04-17,49.07,49.59,48.48,49.38,1297277
2018-04-16,49.17,49.62,48.58,49.01,1625187
2018-04-13,48.59,49.24,48.18,48.85,1905831
2018-04-12,48.87,49.05,48.05,48.33,1663044
2018-04-11,48.53,49.2,48.02,48.71,1655747
2018-04-10,47.29,49.17,47.29,48.58,2252169
2018-04-09,46.73,47.7,46.5463,46.65,1667667
2018-04-06,48.51,48.62,45.93,46.9,2832783
2018-04-05,47.22,49.06,47.07,48.74,2635040
2018-04-04,46.48,46.9,46.1768,46.82,2020424
2018-04-03,46.35,47.29,45.85,47.14,2043820
