timestamp,open,high,low,close,volume
2018-08-07,45.71,45.97,45.48,45.5,6862103
2018-08-06,45.29,46.08,45.19,45.69,10250263
2018-08-03,45.03,45.62,44.96,45.42,8890204
2018-08-02,44.8,45.175,44.8,45.03,12520050
2018-08-01,44.87,45.21,44.76,45.0,8926889
2018-07-31,45.3,45.4,44.91,45.0,12711915
2018-07-30,45.1,45.45,44.945,45.16,13706331
2018-07-27,45.37,45.42,45.08,45.15,10750274
2018-07-26,45.37,45.63,45.21,45.38,15778356
2018-07-25,45.13,45.31,44.59,45.19,13690363
2018-07-24,46.08,46.09,45.12,45.23,17100080
2018-07-23,45.97,46.095,45.75,45.92,13682895
2018-07-20,46.35,46.38,45.9,46.0,23561538
2018-07-19,46.0,46.65,45.71,46.65,41717876
2018-07-18,46.36,46.83,46.36,46.68,7698238
2018-07-17,46.45,46.89,46.38,46.47,13024065
2018-07-16,47.48,47.51,46.28,46.71,18565900
2018-07-13,47.11,47.63,46.98,47.56,21135085
2018-07-12,47.97,48.06,47.25,47.38,21256016
2018-07-11,49.3,49.32,47.24,47.79,37977077
2018-07-10,49.56,50.06,49.55,49.77,12638535
2018-07-09,48.92,49.59,48.48,49.56,12522014
2018-07-06,48.86,49.15,48.59,48.93,14853062
2018-07-05,49.04,49.08,48.29,48.74,13220887
2018-07-03,49.4,49.4999,48.39,48.6,7087721
2018-07-02,49.56,49.88,48.93,49.2,11455219
2018-06-29,49.61,50.145,49.48,49.69,13211370
2018-06-28,49.13,49.83,49.06,49.79,16554218
2018-06-27,48.48,49.045,47.89,48.8,29347118
2018-06-26,48.22,48.66,47.5,47.68,23826049
2018-06-25,48.5,48.6525,47.85,48.14,14087530
2018-06-22,48.6,49.185,48.52,48.61,15500763
2018-06-21,48.69,49.24,48.18,48.35,37866003
2018-06-20,47.59,48.52,47.26,48.08,66698951
2018-06-19,44.41,45.06,44.26,44.71,11403484
2018-06-18,44.82,44.82,44.3399,44.56,12101200
2018-06-15,44.58,45.05,44.39,44.66,19369393
2018-06-14,44.12,44.7,44.1,44.58,24743481
2018-06-13,43.71,43.93,43.2,43.66,49051959
2018-06-12,40.14,41.02,40.14,40.54,16868064
2018-06-11,39.87,41.11,39.8,40.13,16121717
2018-06-08,39.57,40.3,39.55,39.99,10898779
2018-06-07,39.13,39.68,39.04,39.65,13865657
2018-06-06,39.04,39.39,38.86,39.3,16787680
2018-06-05,38.75,39.1,38.65,39.08,9069457
2018-06-04,38.66,38.99,38.64,38.66,8089218
2018-06-01,38.71,38.82,38.38,38.56,10364779
2018-05-31,38.66,38.86,38.31,38.55,8555250
2018-05-30,38.8,39.115,38.48,38.66,11558663
2018-05-29,38.69,38.94,38.24,38.65,9866792
2018-05-25,38.95,39.28,38.83,39.02,8995114
2018-05-24,38.85,39.46,38.59,38.93,13630869
2018-05-23,38.53,39.085,38.38,38.77,13707246
2018-05-22,38.09,38.55,38.01,38.16,9773253
2018-05-21,37.81,38.08,37.72,37.93,6777265
2018-05-18,37.67,37.84,37.5,37.66,7432031
2018-05-17,38.05,38.32,37.7,37.77,7579484
2018-05-16,37.94,38.27,37.8,38.16,3556597
2018-05-15,37.53,37.91,37.43,37.87,5411681
2018-05-14,37.87,38.02,37.45,37.76,8968942
2018-05-11,37.92,38.11,37.65,37.94,6280150
2018-05-10,37.79,38.27,37.69,37.92,8358087
2018-05-09,38.21,38.32,37.57,37.7,10990941
2018-05-08,38.96,39.35,37.855,37.99,17346619
2018-05-07,37.94,38.28,37.7,38.04,7139019
2018-05-04,36.72,37.8,36.42,37.66,9307142
2018-05-03,36.56,37.11,35.86,36.88,10951004
