timestamp,open,high,low,close,volume
2018-08-07,30.54,30.935,30.41,30.71,1990966
2018-08-06,30.23,30.57,30.21,30.47,2665121
2018-08-03,30.17,30.725,29.67,30.35,3216324
2018-08-02,29.08,30.17,29.07,30.07,3119933
2018-08-01,30.05,30.46,29.18,29.21,3727911
2018-07-31,29.99,30.4,29.825,30.17,2913482
2018-07-30,29.44,30.12,29.44,29.87,2784343
2018-07-27,30.33,30.54,29.33,29.43,2688739
2018-07-26,30.22,30.715,29.8,30.15,2971599
2018-07-25,29.56,30.1,29.49,30.07,3830726
2018-07-24,30.15,30.235,29.19,29.54,6508950
2018-07-23,30.37,30.65,29.98,30.05,3673362
2018-07-20,30.6,30.79,30.02,30.05,3035630
2018-07-19,30.13,30.83,30.08,30.71,3604139
2018-07-18,29.98,30.28,29.84,30.16,3685478
2018-07-17,29.5,29.96,29.43,29.9,4394015
2018-07-16,29.4,29.595,28.96,29.48,5644065
2018-07-13,29.56,30.04,29.26,29.4,4668571
2018-07-12,29.89,30.19,29.5173,29.59,7424854
2018-07-11,30.86,30.8975,30.06,30.2,3978362
2018-07-10,30.44,31.11,30.38,31.01,3705042
2018-07-09,31.42,31.7,30.42,30.82,5711038
2018-07-06,31.6,31.73,30.6,31.26,6702124
2018-07-05,32.46,32.46,31.51,31.6,4283746
2018-07-03,32.04,32.42,31.98,32.24,2537109
2018-07-02,32.02,32.25,31.375,31.73,5664967
2018-06-29,33.61,33.71,32.36,32.39,5614681
2018-06-28,33.28,33.93,33.26,33.51,3834397
2018-06-27,33.83,34.19,33.19,33.24,4137786
2018-06-26,33.8,34.14,33.49,33.73,6079937
2018-06-25,33.35,33.88,33.09,33.54,5000337
2018-06-22,33.95,34.21,33.12,33.39,6888151
2018-06-21,32.86,33.9,32.8,33.75,6172569
2018-06-20,32.86,33.145,32.197,33.08,5961507
2018-06-19,32.07,32.69,31.89,32.53,6041203
2018-06-18,31.62,32.67,31.52,32.54,4874235
2018-06-15,31.13,31.69,31.05,31.63,5341287
2018-06-14,31.93,32.43,31.26,31.33,6897106
2018-06-13,32.86,33.075,32.02,32.23,5042723
2018-06-12,32.89,33.24,32.21,32.93,5228784
2018-06-11,31.89,32.965,31.7,32.75,6020622
2018-06-08,31.45,31.82,31.3,31.74,4202824
2018-06-07,31.22,31.83,31.13,31.54,5762192
2018-06-06,31.53,31.55,30.6499,31.09,6813621
2018-06-05,29.28,31.73,29.17,31.18,11697873
2018-06-04,28.94,29.49,28.87,29.19,5961740
2018-06-01,28.07,29.05,28.03,28.96,6544138
2018-05-31,28.82,29.1,27.945,27.98,5645904
2018-05-30,28.26,28.96,27.58,28.88,9877206
2018-05-29,28.02,28.74,28.0,28.29,11607034
2018-05-25,30.08,30.35,28.14,28.15,25859353
2018-05-24,31.93,33.34,31.91,32.95,8791845
2018-05-23,31.56,32.18,31.39,31.98,4556354
2018-05-22,31.84,32.12,31.6,31.75,4414999
2018-05-21,31.81,32.04,31.6,31.7,3221567
2018-05-18,31.41,31.785,31.23,31.57,3664340
2018-05-17,31.41,31.66,31.15,31.39,3350745
2018-05-16,31.43,31.98,30.845,31.57,6633025
2018-05-15,31.01,31.21,30.15,31.16,7987478
2018-05-14,29.26,30.61,29.19,30.38,5880818
2018-05-11,28.86,29.49,28.67,29.19,4062205
2018-05-10,29.11,29.11,28.47,28.8,4973996
2018-05-09,28.63,29.25,28.56,29.21,3882520
2018-05-08,28.23,28.8,28.11,28.72,3303731
2018-05-07,28.74,28.86,28.06,28.35,4383649
2018-05-04,28.88,29.005,28.38,28.8,3956070
2018-05-03,29.1,29.53,28.825,28.99,4736059
2018-05-02,28.7,29.3,28.54,29.12,4433489
2018-05-01,29.14,29.37,28.32,28.85,3706596
2018-04-30,30.41,30.59,29.0,29.24,4655197
2018-04-27,30.33,30.49,29.92,30.41,2951131
2018-04-26,29.91,30.415,29.715,30.12,4056071
2018-04-25,29.1,30.07,28.94,29.91,5230406
2018-04-24,28.92,29.88,28.81,29.19,4574469
2018-04-23,28.45,29.11,28.385,28.78,4206456
2018-04-20,29.3,29.35,28.12,28.44,7009837
2018-04-19,29.43,29.62,29.0,29.55,5316916
2018-04-18,30.65,30.82,29.52,29.54,4422101
2018-04-17,30.46,30.77,30.24,30.54,3298779
2018-04-16,30.25,30.44,29.84,30.16,2397196
2018-04-13,30.67,30.73,30.0,30.05,3333917
2018-04-12,30.71,30.925,30.39,30.64,3230550
2018-04-11,30.52,30.73,30.14,30.55,4572924
2018-04-10,30.33,31.0,30.23,30.78,5580000
2018-04-09,31.07,31.12,29.97,30.07,6155716
2018-04-06,31.66,31.94,30.595,30.84,4979390
2018-04-05,32.1,32.23,31.67,32.01,4197136
2018-04-04,30.8,31.94,30.8,31.88,4050141
2018-04-03,30.82,31.38,30.81,31.19,3568876
2018-04-02,31.17,31.32,30.19,30.75,4555243
2018-03-29,30.93,31.65,30.93,31.2,3001345
2018-03-28,30.64,31.69,30.32,30.9,3845889
2018-03-27,30.88,31.01,30.345,30.52,3839576
2018-03-26,31.21,31.295,30.4,30.96,5774825
2018-03-23,31.38,32.09,31.02,31.04,4130545
2018-03-22,31.71,31.95,31.14,31.18,4814138
2018-03-21,32.29,32.79,32.08,32.11,4320470
2018-03-20,32.14,32.695,32.0,32.32,3763394
2018-03-19,31.85,32.53,31.76,32.23,5657370
2018-03-16,31.81,32.37,31.36,31.74,5115466
2018-03-15,32.47,32.535,31.76,31.83,4861123
2018-03-14,32.81,32.98,32.295,32.42,3055977
2018-03-13,32.47,33.0,32.34,32.67,3802599
2018-03-12,33.07,33.12,32.05,32.24,5433266
2018-03-09,32.89,33.18,32.17,33.07,4509261
2018-03-08,33.34,33.58,32.58,32.6,5295647
2018-03-07,34.46,34.52,32.97,33.28,7064903
2018-03-06,34.09,34.71,34.02,34.59,6900468
2018-03-05,34.18,34.29,33.442,34.09,10937532
2018-03-02,33.9,34.37,32.7,34.18,16535820
2018-03-01,31.39,31.95,30.73,31.7,9283673
2018-02-28,31.5,32.18,31.44,31.58,4554833
2018-02-27,32.62,33.17,31.21,31.22,5180918
2018-02-26,33.04,33.13,31.895,32.13,5887020
2018-02-23,32.49,32.72,32.02,32.69,3590468
2018-02-22,32.33,32.7,32.24,32.37,2578070
2018-02-21,31.79,32.92,31.75,32.22,4510422
2018-02-20,31.09,32.41,30.75,31.61,9566211
2018-02-16,33.26,33.95,33.23,33.27,4202541
2018-02-15,33.41,33.59,32.66,33.33,2730786
2018-02-14,32.1,33.4,31.99,33.11,3968972
2018-02-13,31.38,32.51,31.29,32.43,4010894
2018-02-12,32.54,32.62,31.32,31.42,7128082
2018-02-09,31.73,32.6,30.54,32.29,8601637
2018-02-08,32.82,32.85,31.16,31.17,3954846
2018-02-07,32.2,33.05,31.84,32.62,3901318
2018-02-06,29.89,32.475,29.28,32.16,8440918
2018-02-05,31.8,32.215,30.52,30.56,7476412
2018-02-02,32.68,32.81,31.91,32.09,4384006
2018-02-01,32.82,33.5,32.57,32.88,5657386
2018-01-31,34.42,34.68,33.02,33.24,5427064
2018-01-30,34.9,35.0256,34.25,34.39,4535012
2018-01-29,34.47,35.33,34.47,35.08,2521744
2018-01-26,34.58,34.865,34.17,34.85,2617472
2018-01-25,35.1,35.19,34.37,34.58,2142203
2018-01-24,35.46,35.58,34.48,34.88,2470110
2018-01-23,35.44,35.68,35.06,35.46,3351085
2018-01-22,34.8,35.5,34.735,35.48,4652531
2018-01-19,33.93,34.87,33.76,34.81,3700757
2018-01-18,33.31,33.88,33.25,33.76,2490861
2018-01-17,32.82,33.46,32.82,33.26,2741398
2018-01-16,33.92,34.0,32.67,32.71,5373047
2018-01-12,33.16,34.2334,33.03,33.87,4690618
2018-01-11,32.16,33.27,31.935,33.19,5171287
2018-01-10,31.69,32.22,31.53,32.03,3043961
2018-01-09,32.16,32.18,31.57,31.99,5343871
2018-01-08,32.83,33.08,31.76,32.3,4913093
2018-01-05,32.75,32.86,32.345,32.55,3845947
2018-01-04,32.71,33.11,31.87,32.74,5582868
2018-01-03,34.08,34.17,32.8634,33.17,3840676
2018-01-02,34.15,34.37,33.555,33.87,5275552
2017-12-29,34.54,34.78,34.04,34.06,2181451
2017-12-28,34.49,34.57,34.13,34.44,1591969
2017-12-27,34.98,34.98,34.32,34.49,2113553
2017-12-26,34.46,35.24,34.46,34.94,2954235
2017-12-22,34.435,34.55,34.155,34.44,3186736
2017-12-21,34.44,34.625,34.16,34.45,3558605
2017-12-20,34.44,34.61,34.205,34.32,2586832
2017-12-19,34.66,34.66,34.02,34.31,3732980
2017-12-18,33.89,34.7,33.81,34.43,4206657
2017-12-15,33.63,34.06,33.4,33.56,7133566
2017-12-14,34.1,34.41,32.88,33.18,7395873
2017-12-13,33.83,34.41,33.83,34.26,4756202
2017-12-12,33.63,34.205,33.59,33.96,4485124
2017-12-11,33.55,33.88,33.23,33.6,4544384
2017-12-08,33.75,33.98,33.43,33.49,4821699
2017-12-07,33.52,33.92,33.28,33.68,4504695
2017-12-06,33.3,33.75,33.09,33.4,3923895
2017-12-05,33.87,33.94,32.81,33.32,6450304
2017-12-04,32.36,34.3,32.31,34.09,9454190
2017-12-01,32.08,32.31,31.15,31.98,6227163
2017-11-30,31.71,32.8312,31.6,32.31,10498247
2017-11-29,31.05,32.64,31.01,32.5,8080308
2017-11-28,30.1,31.065,29.909,30.98,4866667
2017-11-27,30.05,30.94,29.9,30.0,6690101
2017-11-24,29.4,29.95,29.28,29.64,2326400
2017-11-22,29.68,29.9,29.14,29.17,4478211
2017-11-21,30.0,30.06,29.3515,29.71,5363504
2017-11-20,29.59,29.985,29.31,29.93,6244256
2017-11-17,29.34,30.14,28.8501,29.4,17814792
