timestamp,open,high,low,close,volume
2018-08-07,97.39,97.89,96.9,97.55,1019493
2018-08-06,97.34,97.59,96.66,97.12,864770
2018-08-03,96.92,97.255,95.995,96.95,1345915
2018-08-02,96.73,97.26,95.99,96.62,1226285
2018-08-01,98.38,98.7,96.98,97.42,1073858
2018-07-31,98.0,98.93,97.6,98.51,1598325
2018-07-30,97.89,99.0,97.09,97.22,1782972
2018-07-27,98.0,98.49,97.25,97.72,1309671
2018-07-26,96.31,98.81,96.19,97.73,2763430
2018-07-25,92.59,96.26,92.55,96.12,3788813
2018-07-24,91.05,91.83,89.78,91.08,1722330
2018-07-23,91.12,91.455,89.9,90.15,1420936
2018-07-20,91.26,92.02,90.67,91.8,1462894
2018-07-19,90.72,92.1,90.57,91.8,911504
2018-07-18,91.21,91.62,90.9,91.26,993290
2018-07-17,89.97,91.14,89.63,90.89,962805
2018-07-16,90.94,91.18,89.69,89.96,1030730
2018-07-13,89.69,91.18,89.63,91.05,789334
2018-07-12,90.13,90.42,89.12,89.88,1045832
2018-07-11,90.55,90.55,89.22,89.28,1139175
2018-07-10,91.71,92.37,91.18,91.45,769172
2018-07-09,90.4,92.25,90.4,91.71,1391724
2018-07-06,90.21,90.4,89.35,89.87,1470095
2018-07-05,90.6,91.07,89.88,90.46,1472884
2018-07-03,89.83,90.81,89.57,89.94,1016518
2018-07-02,89.13,89.45,88.26,89.43,1305393
2018-06-29,89.54,90.66,89.16,89.73,1598777
2018-06-28,88.89,90.04,87.94,88.98,1356907
2018-06-27,89.9,91.25,88.86,88.89,1590803
2018-06-26,90.17,90.45,88.97,89.07,1725608
2018-06-25,90.16,90.17,88.965,89.79,1097143
2018-06-22,90.6,91.2,90.255,90.76,1500471
2018-06-21,90.6,90.67,89.545,89.87,2064462
2018-06-20,91.41,91.64,90.5,90.9,794741
2018-06-19,91.23,91.785,89.9167,91.02,1215154
2018-06-18,91.41,92.06,90.77,92.02,826667
2018-06-15,91.41,92.67,90.4,92.14,2520549
2018-06-14,91.5,92.53,91.14,91.91,1250996
2018-06-13,92.34,92.34,91.02,91.15,1737390
2018-06-12,93.07,93.26,91.6,92.43,1922545
2018-06-11,91.55,93.405,91.11,93.03,1932908
2018-06-08,90.65,90.82,90.19,90.69,789081
