timestamp,open,high,low,close,volume
2018-06-08,127.95,127.95,127.95,127.95,0
2018-06-07,127.95,127.95,127.95,127.95,0
2018-06-06,127.94,127.97,127.92,127.95,34600552
2018-06-05,127.87,127.94,127.86,127.93,5418379
2018-06-04,127.88,127.89,127.83,127.86,6933745
2018-06-01,127.45,127.56,127.43,127.56,4087439
2018-05-31,127.54,127.68,127.37,127.46,7368457
2018-05-30,127.55,127.62,127.26,127.51,6980457
2018-05-29,126.65,127.65,126.51,127.41,13138860
2018-05-25,125.48,127.3,125.48,126.5,5031959
2018-05-24,125.4,125.94,125.13,125.38,2088079
2018-05-23,125.69,125.9,125.08,125.31,2979744
2018-05-22,126.0,126.16,125.67,125.73,2052730
2018-05-21,125.86,126.07,125.7,125.9,1919622
2018-05-18,125.42,126.0,125.4,125.85,3423088
2018-05-17,125.32,125.58,125.25,125.49,1981651
2018-05-16,125.14,125.5,125.07,125.44,2870649
2018-05-15,124.85,125.31,124.76,125.29,1913223
2018-05-14,125.0,125.08,124.83,124.95,2166127
2018-05-11,124.9,125.08,124.7,124.97,1995963
2018-05-10,124.71,124.89,124.57,124.89,2505188
2018-05-09,125.0,125.1,124.3,124.69,3304496
2018-05-08,124.8,125.01,124.69,124.93,2897764
2018-05-07,125.0,125.6,124.81,125.05,1940042
2018-05-04,124.93,125.09,124.75,124.83,2462836
2018-05-03,125.06,125.18,124.65,125.1,3744534
2018-05-02,125.41,125.55,124.94,125.2,3295137
2018-05-01,125.38,125.61,125.22,125.61,2886705
2018-04-30,124.98,125.44,124.9447,125.37,1752056
2018-04-27,124.93,125.24,124.86,125.07,2092791
2018-04-26,124.99,125.27,124.86,124.99,3644144
2018-04-25,125.0,125.0,124.35,124.68,2272089
2018-04-24,125.05,125.12,124.511,124.74,2444633
2018-04-23,124.8,125.05,124.6,125.05,3193885
2018-04-20,124.985,125.39,124.85,125.0,3713250
2018-04-19,124.9,125.075,124.27,124.6,3919135
2018-04-18,125.5,125.56,124.82,124.95,4082838
2018-04-17,125.7,125.9,125.45,125.45,2857149
2018-04-16,125.4,125.75,125.24,125.7,3813086
2018-04-13,125.4,125.6102,125.26,125.4,3108586
2018-04-12,125.2,125.75,125.13,125.31,5130278
2018-04-11,125.56,125.66,124.93,125.2,8462853
2018-04-10,124.99,126.0,124.23,125.01,12141971
2018-04-09,118.0,126.8,117.41,125.15,16260314
2018-04-06,117.75,118.86,117.39,117.86,2424848
2018-04-05,116.6,118.12,116.36,118.05,3299008
2018-04-04,116.6,116.98,116.17,116.75,2124899
2018-04-03,116.85,117.26,116.24,117.0,14408380
2018-04-02,116.86,117.52,116.18,116.6,2222630
2018-03-29,117.11,117.87,116.0,116.69,2586759
2018-03-28,117.79,117.985,116.75,116.75,1991470
2018-03-27,117.76,118.46,117.04,117.58,1975703
2018-03-26,117.86,117.86,116.9,117.69,1826847
2018-03-23,117.8,118.4,116.99,117.15,2043039
2018-03-22,118.75,119.0,117.36,117.53,2564079
2018-03-21,118.68,119.56,118.3812,119.02,5434978
2018-03-20,117.87,119.09,117.45,118.36,2229340
2018-03-19,117.53,118.23,117.01,117.64,2984904
2018-03-16,117.55,119.0,117.47,117.77,5232265
2018-03-15,123.2,123.35,116.25,117.2,15694869
2018-03-14,123.65,123.73,122.9,123.15,3512445
2018-03-13,123.56,123.8,123.27,123.59,1264952
2018-03-12,123.25,123.91,122.91,123.15,2173718
2018-03-09,123.15,123.51,122.74,123.51,2874528
2018-03-08,122.99,123.23,122.73,123.02,3514057
2018-03-07,122.94,123.22,122.84,122.95,4410096
2018-03-06,123.06,123.39,122.61,123.37,2567262
2018-03-05,122.55,123.26,122.38,123.0,2947390
2018-03-02,122.83,123.18,122.46,122.73,3751910
2018-03-01,123.45,123.89,122.35,122.91,4387441
