timestamp,open,high,low,close,volume
2018-08-07,32.55,32.55,31.1729,31.23,10841679
2018-08-06,32.54,32.8,31.62,32.38,7593774
2018-08-03,33.02,33.5,32.13,32.89,16035039
2018-08-02,34.95,35.995,34.75,35.83,4849776
2018-08-01,35.55,35.59,34.72,35.14,3674994
2018-07-31,36.23,36.27,35.64,36.09,2512590
2018-07-30,35.83,36.22,35.75,36.2,2443085
2018-07-27,34.9,35.9766,34.9,35.34,1770920
2018-07-26,35.75,35.96,35.26,35.86,2564677
2018-07-25,35.3,35.775,34.94,35.7,2778125
2018-07-24,35.03,35.82,34.79,35.28,3132921
2018-07-23,34.89,35.085,34.48,34.58,2212911
2018-07-20,34.8,34.9399,34.34,34.68,2188165
2018-07-19,34.42,35.01,34.4,34.75,2975924
2018-07-18,34.1,34.495,33.56,34.33,3292072
2018-07-17,34.7,34.7,34.0,34.45,2832340
2018-07-16,35.59,35.75,34.54,34.86,2883086
2018-07-13,35.98,36.53,35.85,36.02,3591222
2018-07-12,36.02,36.49,35.3,35.95,3293635
2018-07-11,36.88,37.0,35.63,35.87,4080583
2018-07-10,37.04,37.76,37.0,37.23,5226597
2018-07-09,35.62,36.975,35.57,36.82,5868942
2018-07-06,34.68,35.48,34.54,35.21,3988198
2018-07-05,34.87,35.5,34.7,34.85,5307836
2018-07-03,34.51,35.5,34.49,34.68,4428757
2018-07-02,34.86,35.0,33.955,33.99,4551292
2018-06-29,34.99,35.89,34.99,35.28,4082432
2018-06-28,35.97,35.97,34.72,35.1,6948786
2018-06-27,35.96,36.63,35.57,35.71,4372070
2018-06-26,34.6,35.635,34.505,35.43,3205522
2018-06-25,36.08,36.18,34.45,34.73,3313040
2018-06-22,36.11,36.92,35.895,36.08,6112607
2018-06-21,35.53,35.63,34.76,34.96,2885162
2018-06-20,35.26,35.89,35.18,35.8,3456953
2018-06-19,34.45,35.02,34.2,34.85,4197208
2018-06-18,33.94,35.51,33.89,34.98,6163424
2018-06-15,34.57,34.64,33.25,33.84,8294349
2018-06-14,34.74,34.92,34.215,34.57,5607767
2018-06-13,33.86,34.86,33.74,34.52,4175617
2018-06-12,34.39,34.89,34.1,34.28,2879336
2018-06-11,34.08,34.61,33.38,34.33,3997457
2018-06-08,34.57,34.63,33.69,34.06,6858537
2018-06-07,34.7,35.29,34.53,34.85,4600682
2018-06-06,34.57,34.855,34.01,34.45,4061240
2018-06-05,34.63,34.865,34.225,34.46,3431631
2018-06-04,35.88,36.05,34.52,34.7,5526562
2018-06-01,35.69,36.25,35.36,35.65,4208708
2018-05-31,36.06,36.51,35.66,35.7,5251437
2018-05-30,35.69,36.8,35.64,36.49,2968473
2018-05-29,34.86,35.52,34.74,35.32,3500683
2018-05-25,35.63,35.7,34.52,35.34,3386939
2018-05-24,36.13,36.655,35.97,36.57,3017992
2018-05-23,36.54,37.1,36.105,36.85,3870343
2018-05-22,36.96,37.67,36.62,36.8,6134832
2018-05-21,36.59,37.17,36.45,36.93,2338491
2018-05-18,36.28,36.51,36.1,36.23,3013776
2018-05-17,35.87,36.53,35.74,36.25,2918810
2018-05-16,35.21,35.625,34.92,35.56,2128902
2018-05-15,35.23,35.35,34.85,35.31,2446722
2018-05-14,34.93,35.49,34.92,35.24,2856006
2018-05-11,35.2,35.335,34.8,34.86,3442537
2018-05-10,35.13,35.29,34.55,35.25,4624084
2018-05-09,33.88,35.32,33.88,34.9,7724248
2018-05-08,32.88,33.61,32.24,33.44,5252340
2018-05-07,32.98,33.93,32.77,32.87,3056224
2018-05-04,32.38,32.99,32.26,32.73,3279527
2018-05-03,32.74,32.82,32.145,32.47,3095531
2018-05-02,33.01,33.67,32.95,33.07,3767261
2018-05-01,33.04,33.27,32.41,33.07,5662679
2018-04-30,33.55,34.04,33.4,33.83,4387303
2018-04-27,33.87,34.06,33.52,33.7,2788013
2018-04-26,34.0,34.53,33.75,34.07,3810808
2018-04-25,33.61,34.035,33.2,33.86,3460588
2018-04-24,33.82,34.3077,33.04,33.27,4554350
2018-04-23,33.49,33.88,33.11,33.82,5079817
2018-04-20,33.89,33.95,33.28,33.77,3486739
2018-04-19,33.91,34.25,33.47,33.83,4499505
2018-04-18,32.83,34.185,32.77,33.62,5501114
2018-04-17,32.12,32.58,31.8603,32.33,3247202
2018-04-16,32.11,32.2,31.77,32.0,3971499
2018-04-13,31.83,32.53,31.71,32.1,3239816
2018-04-12,31.42,31.69,31.09,31.5,2686685
2018-04-11,31.05,31.67,30.82,31.43,3394146
2018-04-10,30.25,31.27,30.15,31.14,5189065
2018-04-09,29.56,30.45,29.41,29.72,3939084
