timestamp,open,high,low,close,volume
2018-08-07,173.06,174.43,172.87,173.17,1260675
2018-08-06,171.47,173.5,170.87,172.69,1646858
2018-08-03,169.54,171.71,168.86,171.62,1667284
2018-08-02,167.16,169.72,166.755,169.31,1310396
2018-08-01,169.04,169.74,167.455,167.93,1728541
2018-07-31,169.23,171.37,168.89,169.0,1687037
2018-07-30,168.32,170.94,168.27,168.48,1294761
2018-07-27,169.58,169.74,166.78,168.24,1863182
2018-07-26,170.5,172.81,168.19,169.57,2470305
2018-07-25,156.75,168.76,155.35,168.36,3607619
2018-07-24,163.89,164.45,159.69,160.48,2865238
2018-07-23,161.89,163.95,160.9,162.99,1546598
2018-07-20,159.46,162.67,159.42,161.85,1663317
2018-07-19,157.85,160.84,156.85,160.48,1915960
2018-07-18,158.45,161.0,158.14,159.91,2202423
2018-07-17,155.2,155.76,153.22,154.96,2105551
2018-07-16,160.31,160.31,154.0,155.23,2167702
2018-07-13,157.21,160.36,157.04,159.46,1749302
2018-07-12,157.38,158.33,156.23,157.51,2080895
2018-07-11,157.15,157.34,154.61,155.76,1647901
2018-07-10,157.1,159.04,156.69,158.71,2365869
2018-07-09,155.62,157.37,154.63,157.14,1114239
2018-07-06,153.38,155.28,152.33,154.52,1289588
2018-07-05,151.71,153.22,151.53,153.08,1174793
2018-07-03,152.79,153.77,150.63,150.93,622419
2018-07-02,150.37,152.79,149.8917,152.21,901937
2018-06-29,149.9,152.94,149.87,150.87,1505044
2018-06-28,149.13,150.76,147.22,149.72,1803193
2018-06-27,151.42,153.68,150.04,150.04,1882832
2018-06-26,152.54,152.54,150.33,151.06,2403067
2018-06-25,154.2,154.21,150.81,152.23,1883875
2018-06-22,151.38,153.07,151.15,151.82,1748047
2018-06-21,150.84,151.25,149.11,149.98,886437
2018-06-20,151.76,152.265,150.36,151.07,1094332
2018-06-19,151.82,152.23,149.598,150.91,1467225
2018-06-18,153.29,154.84,152.49,153.78,918445
2018-06-15,153.4,154.92,151.855,154.66,2476062
2018-06-14,154.85,154.91,153.02,153.47,1466710
2018-06-13,156.34,157.01,153.5,154.17,1758692
2018-06-12,156.61,158.58,155.53,156.28,1560258
2018-06-11,153.73,157.28,153.6,156.12,1835607
2018-06-08,152.19,154.25,151.93,154.23,1166361
2018-06-07,152.9,153.28,150.92,152.2,1321003
2018-06-06,151.01,152.1,148.6,152.06,1963024
2018-06-05,151.71,152.59,150.16,150.93,1601547
2018-06-04,155.72,156.17,151.36,151.76,1415078
2018-06-01,152.99,156.0,152.54,155.23,1663221
2018-05-31,154.63,155.2,151.45,151.65,1899094
2018-05-30,152.69,155.525,152.095,154.84,2084176
2018-05-29,151.5,152.73,150.145,151.64,1439953
2018-05-25,152.22,153.46,152.12,153.02,1355898
2018-05-24,150.6,154.02,150.37,152.99,2101873
2018-05-23,151.2,151.49,148.99,150.49,1994468
2018-05-22,152.58,154.19,151.75,151.8,1412669
2018-05-21,153.26,154.65,152.32,152.57,1363503
2018-05-18,152.18,153.19,151.28,152.49,1091769
2018-05-17,151.01,153.73,151.01,152.48,1322657
2018-05-16,150.92,151.61,149.8,150.88,1658882
2018-05-15,149.58,150.9,149.17,150.74,1418634
2018-05-14,152.66,153.43,150.15,150.44,1242193
2018-05-11,152.0,153.73,151.31,152.4,1200406
2018-05-10,151.13,151.98,150.16,151.76,1692169
2018-05-09,146.85,152.2,146.3567,150.93,2193780
2018-05-08,144.91,147.735,144.48,146.09,1432811
2018-05-07,144.37,145.82,144.04,145.47,1463609
2018-05-04,140.32,144.91,140.19,143.92,1346434
2018-05-03,141.46,141.82,138.34,140.94,1770976
2018-05-02,142.11,144.83,141.22,142.4,1566600
2018-05-01,143.18,144.1,140.63,142.49,1835628
2018-04-30,147.0,147.74,143.13,143.47,2471689
2018-04-27,144.69,146.96,143.32,146.62,1413661
2018-04-26,144.58,147.84,142.31,144.69,3739289
2018-04-25,140.77,146.41,139.53,145.96,4978880
2018-04-24,138.3,139.47,133.47,134.97,2746609
2018-04-23,136.7,138.08,135.96,137.76,1558916
2018-04-20,138.66,139.45,136.09,136.75,1369914
