timestamp,open,high,low,close,volume
2018-08-07,29.21,29.29,28.74,28.94,5234815
2018-08-06,28.89,29.11,28.89,29.03,3774702
2018-08-03,28.71,29.09,28.645,28.97,3883961
2018-08-02,28.57,28.745,28.325,28.62,3566754
2018-08-01,28.63,28.71,28.22,28.54,5162744
2018-07-31,28.85,29.0532,28.575,28.77,6099470
2018-07-30,28.8,28.94,28.55,28.68,4911096
2018-07-27,28.93,29.05,28.68,28.79,3023744
2018-07-26,28.96,29.11,28.72,28.96,2652309
2018-07-25,28.49,28.91,28.38,28.76,5232796
2018-07-24,28.01,28.54,27.6368,28.45,5215267
2018-07-23,28.03,28.22,27.85,28.13,4433034
2018-07-20,28.25,28.29,27.77,28.01,4076350
2018-07-19,28.0,28.63,28.0,28.31,3840574
2018-07-18,28.38,28.5,27.96,27.99,3877677
2018-07-17,28.54,28.67,28.35,28.41,3040827
2018-07-16,28.6,28.75,28.38,28.52,5493622
2018-07-13,28.65,28.69,28.37,28.52,2792327
2018-07-12,28.42,28.71,28.3766,28.65,4636483
2018-07-11,28.36,28.58,28.25,28.47,3338793
2018-07-10,27.93,28.45,27.7,28.31,6182282
2018-07-09,29.55,29.57,28.0,28.09,9160194
2018-07-06,29.51,29.67,29.38,29.57,4101154
2018-07-05,29.06,29.48,28.8767,29.46,8510551
2018-07-03,28.79,29.34,28.67,29.04,3930047
2018-07-02,28.69,28.79,28.45,28.74,5154325
2018-06-29,28.62,28.72,28.31,28.55,6237951
2018-06-28,28.8,28.95,28.54,28.62,5686151
2018-06-27,28.7,28.91,28.5101,28.72,5491252
2018-06-26,28.69,28.89,28.49,28.68,6968440
2018-06-25,28.28,28.87,28.27,28.79,10254185
2018-06-22,27.81,28.37,27.72,28.26,8046378
2018-06-21,27.33,27.86,27.31,27.84,7432189
2018-06-20,27.36,27.42,27.03,27.31,5665835
2018-06-19,27.3,27.63,27.1,27.26,9942554
2018-06-18,27.02,27.38,26.97,27.31,7943287
2018-06-15,26.96,27.18,26.85,27.08,13148483
2018-06-14,26.16,27.12,26.08,27.07,11604300
2018-06-13,26.2,26.28,26.01,26.12,12998061
2018-06-12,25.7,26.5,25.68,26.14,10103632
2018-06-11,25.8,25.83,25.5,25.7,7292095
2018-06-08,25.63,25.86,25.56,25.79,6705368
2018-06-07,25.3,25.92,25.3,25.61,10868295
2018-06-06,26.87,26.95,25.66,25.67,14361580
2018-06-05,27.0,27.255,26.87,26.88,8538548
2018-06-04,27.07,27.31,26.885,26.98,6609234
2018-06-01,27.32,27.43,26.835,26.96,6119094
2018-05-31,27.31,27.4,27.08,27.32,7880883
2018-05-30,27.1,27.39,26.91,27.34,9831414
2018-05-29,27.45,27.52,26.95,27.03,8725800
2018-05-25,27.57,27.68,27.42,27.45,4352349
2018-05-24,27.45,27.585,27.24,27.5,4631993
2018-05-23,27.3,27.51,27.19,27.44,5392313
2018-05-22,26.95,27.4,26.85,27.31,7791818
2018-05-21,26.8,27.02,26.67,26.92,7558395
2018-05-18,26.76,27.03,26.62,26.72,15054826
2018-05-17,27.0,27.05,26.65,26.74,6451441
2018-05-16,27.25,27.35,26.875,27.01,8033241
2018-05-15,27.6,27.68,27.08,27.23,13154482
2018-05-14,27.88,27.89,27.47,27.65,5588874
2018-05-11,28.25,28.3025,27.8,27.82,5356502
2018-05-10,28.06,28.2,27.66,28.18,9063913
2018-05-09,27.7,28.15,27.55,27.89,24093022
2018-05-08,28.41,28.435,27.44,27.45,6584507
2018-05-07,28.96,29.0,28.515,28.58,4365258
2018-05-04,28.72,29.13,28.68,28.95,6158339
2018-05-03,28.69,28.9,27.88,28.65,6773880
2018-05-02,28.76,28.915,28.6,28.69,5402849
2018-05-01,29.15,29.21,28.76,28.84,6173674
2018-04-30,29.21,29.71,29.05,29.1,9177948
2018-04-27,28.78,29.2388,28.6265,29.0,4231885
2018-04-26,28.65,28.93,28.51,28.84,6271380
2018-04-25,28.44,28.64,28.235,28.64,5106009
2018-04-24,28.21,28.66,28.1461,28.5,5748262
2018-04-23,28.0,28.33,27.85,28.08,4663301
2018-04-20,28.25,28.35,27.78,27.89,3717236
2018-04-19,28.16,28.28,27.96,28.28,4185535
2018-04-18,28.46,28.645,28.19,28.19,3436048
2018-04-17,28.08,28.46,27.98,28.36,4860574
2018-04-16,27.88,28.11,27.63,28.06,7694959
2018-04-13,27.6,28.0299,27.6,27.79,4094615
2018-04-12,27.87,27.91,27.345,27.54,6017196
2018-04-11,27.69,28.035,27.65,27.93,3891683
2018-04-10,28.08,28.1299,27.54,27.69,6139754
2018-04-09,27.93,28.4,27.805,28.15,5029655
2018-04-06,28.0,28.18,27.88,27.93,5652662
2018-04-05,27.77,28.23,27.36,28.0,6335196
2018-04-04,27.97,28.03,27.54,27.85,5735547
2018-04-03,28.13,28.2,27.875,28.03,5619198
2018-04-02,28.49,28.745,27.82,28.06,7157785
2018-03-29,28.18,28.545,28.18,28.29,6736817
2018-03-28,27.99,28.48,27.97,28.17,7166018
2018-03-27,27.45,28.15,27.27,27.9,6983739
2018-03-26,27.23,27.54,27.185,27.45,5935933
2018-03-23,27.25,27.6,27.08,27.13,5999238
2018-03-22,27.2,27.93,27.19,27.32,6708004
2018-03-21,27.31,27.64,27.125,27.22,5009668
2018-03-20,27.46,27.54,27.22,27.26,5652508
2018-03-19,28.13,28.21,27.34,27.41,10018396
2018-03-16,27.87,28.3,27.84,28.12,21080860
2018-03-15,27.94,28.22,27.53,27.84,8615672
2018-03-14,27.8,28.245,27.74,27.93,5999261
2018-03-13,27.94,28.02,27.52,27.76,6170903
2018-03-12,27.63,28.01,27.58,27.89,6683152
2018-03-09,27.75,27.83,27.37,27.54,7649188
2018-03-08,27.25,27.81,27.12,27.77,8387493
2018-03-07,27.61,28.15,27.49,27.62,12359584
2018-03-06,28.52,28.52,27.67,27.68,7402280
2018-03-05,27.75,28.45,27.61,28.32,6596476
