timestamp,open,high,low,close,volume
2018-08-07,196.01,198.59,195.435,197.39,1296098
2018-08-06,196.16,196.7,193.36,196.16,1452137
2018-08-03,197.5,197.92,193.69,195.8,1512577
2018-08-02,196.28,197.58,195.2224,197.17,1456947
2018-08-01,197.62,198.77,196.06,197.35,1683888
2018-07-31,194.12,198.37,193.8,198.03,2702342
2018-07-30,196.23,197.49,193.07,193.43,1438826
2018-07-27,193.55,196.39,193.3,196.18,2728425
2018-07-26,192.0,193.29,186.03,192.43,4659140
2018-07-25,196.8,197.75,192.8759,197.56,2950991
2018-07-24,198.09,200.9895,193.0,196.99,3308517
2018-07-23,201.64,202.35,196.5,196.71,2202752
2018-07-20,201.11,202.57,200.09,201.44,1026683
2018-07-19,201.09,201.84,200.2792,201.37,893180
2018-07-18,200.87,202.62,200.325,201.52,1196423
2018-07-17,199.56,201.05,198.72,200.24,954415
2018-07-16,200.0,202.0,199.19,199.61,1353337
2018-07-13,197.72,199.9,197.25,199.75,1534856
2018-07-12,195.49,197.85,194.92,197.52,1714950
2018-07-11,194.96,195.42,193.4,194.03,1318051
2018-07-10,197.31,198.21,194.82,195.91,1810581
2018-07-09,194.33,197.77,194.05,197.32,1440879
2018-07-06,193.16,194.72,191.06,193.57,1413550
2018-07-05,195.81,196.25,192.98,193.63,1264338
2018-07-03,195.24,196.87,194.46,195.03,871753
2018-07-02,192.88,194.59,191.27,194.39,950101
2018-06-29,194.05,196.18,193.01,193.18,1792179
2018-06-28,192.54,194.21,190.27,192.92,1776444
2018-06-27,194.53,196.51,192.51,192.54,1545204
2018-06-26,194.01,195.1797,193.07,193.9,1691337
2018-06-25,192.91,195.93,192.02,193.52,1799842
2018-06-22,195.69,195.69,192.9,193.38,3642820
2018-06-21,195.48,196.19,191.78,194.7,2424052
2018-06-20,196.7,198.22,194.05,196.42,2257720
2018-06-19,200.87,201.73,196.075,196.6,2690498
2018-06-18,200.22,202.85,199.72,202.61,1813563
2018-06-15,201.51,202.2499,199.5,201.53,3339603
2018-06-14,206.23,206.91,201.9,202.68,2110808
2018-06-13,206.48,207.8,204.9,205.47,2436831
2018-06-12,212.13,212.26,204.97,206.61,3507519
2018-06-11,214.16,214.66,212.545,212.56,1689737
2018-06-08,213.19,214.76,212.06,214.56,1242139
2018-06-07,213.12,213.9,211.77,212.66,1607403
2018-06-06,212.89,213.47,211.93,212.92,1580237
2018-06-05,212.3,213.37,211.77,213.27,1176372
2018-06-04,211.58,213.11,211.07,212.63,837624
2018-06-01,210.7,212.095,210.46,211.36,1012459
2018-05-31,212.19,212.85,209.39,209.5,1571987
2018-05-30,210.37,212.8,209.5,212.32,1045987
2018-05-29,210.0,210.845,207.9713,209.03,1421963
2018-05-25,213.42,214.49,210.95,211.27,1590251
2018-05-24,210.95,214.54,210.75,213.94,1528174
2018-05-23,207.04,211.27,206.29,211.14,1722006
2018-05-22,211.19,211.75,207.4,207.73,2057187
2018-05-21,212.0,214.64,211.6706,213.95,1195222
2018-05-18,210.98,212.5,210.01,211.06,1720508
2018-05-17,210.21,211.26,208.49,210.62,1109978
2018-05-16,209.33,210.75,209.04,210.15,1863663
2018-05-15,208.43,210.69,207.5796,209.4,1280507
2018-05-14,214.0,214.12,208.2,209.19,1871770
2018-05-11,212.03,214.44,212.03,213.83,1951129
2018-05-10,213.52,213.84,211.5,212.61,2309215
2018-05-09,212.06,213.25,210.37,212.23,2345557
2018-05-08,206.0,211.31,205.59,210.4,2796669
2018-05-07,203.54,205.95,203.27,205.17,1837737
2018-05-04,200.64,203.27,199.89,202.54,1534170
2018-05-03,200.47,202.694,196.94,201.53,2503440
2018-05-02,201.92,203.65,200.34,201.08,2712212
2018-05-01,204.81,205.69,197.68,202.08,3129384
2018-04-30,203.85,207.3021,203.51,204.94,2243281
2018-04-27,210.66,210.88,202.88,203.96,3130862
2018-04-26,213.78,213.78,204.54,211.07,4146803
2018-04-25,218.0,218.68,210.89,213.69,3186794
2018-04-24,229.0,229.75,215.17,218.8,2746715
2018-04-23,227.67,228.8102,226.65,228.13,1423081
2018-04-20,228.47,228.85,226.29,227.35,1256452
2018-04-19,227.09,228.41,225.9301,228.06,867080
2018-04-18,228.52,228.52,225.86,227.06,1364464
2018-04-17,226.86,227.49,225.19,227.11,1930273
2018-04-16,223.67,225.86,222.76,225.09,1528826
2018-04-13,222.64,222.74,220.15,222.01,1334871
2018-04-12,219.0,222.16,218.7,220.94,1836358
2018-04-11,218.36,221.38,217.42,218.39,1800018
2018-04-10,219.66,219.86,215.781,218.11,2129602
2018-04-09,217.7,219.34,216.4,217.22,1681435
2018-04-06,217.23,219.35,214.06,215.91,1749735
2018-04-05,218.35,219.75,216.7255,219.39,2083653
2018-04-04,210.6,217.23,209.51,217.0,1711507
2018-04-03,212.72,214.33,210.5,214.05,1449935
2018-04-02,215.1,215.38,209.36,211.97,1961866
2018-03-29,212.06,215.82,211.57,215.82,2154356
2018-03-28,215.11,215.7,209.03,211.06,2064957
2018-03-27,219.88,220.0,213.8,215.11,1583703
