timestamp,open,high,low,close,volume
2018-08-07,52.48,52.725,52.22,52.46,6949449
2018-08-06,52.13,52.715,51.76,52.48,10768427
2018-08-03,52.0,52.45,51.87,52.27,7769932
2018-08-02,51.74,52.01,51.43,51.98,12337524
2018-08-01,52.02,52.11,51.45,51.73,12789735
2018-07-31,52.6,52.67,51.49,51.64,16924248
2018-07-30,52.27,53.0,52.08,52.49,16725010
2018-07-27,51.48,52.38,51.48,52.01,14073713
2018-07-26,51.13,51.61,51.11,51.18,11162300
2018-07-25,51.69,52.05,50.81,50.91,15838016
2018-07-24,51.25,51.87,50.05,51.51,23265217
2018-07-23,50.69,50.98,50.27,50.75,11703183
2018-07-20,50.53,50.99,50.35,50.62,12321631
2018-07-19,51.1,51.1,50.6,50.75,9524190
2018-07-18,51.41,51.49,50.8828,51.14,11734924
2018-07-17,51.54,51.94,51.42,51.43,10636127
2018-07-16,51.36,51.715,51.13,51.59,9633440
2018-07-13,51.1,51.45,50.925,51.41,11175610
2018-07-12,51.5,51.58,50.96,51.24,10583936
2018-07-11,51.22,51.75,51.15,51.34,14348077
2018-07-10,50.8,51.42,50.74,51.34,9614559
2018-07-09,51.03,51.11,50.6801,50.74,10491222
2018-07-06,51.42,51.66,51.23,51.48,10203770
2018-07-05,50.99,51.3,50.52,51.28,11279609
2018-07-03,50.46,51.09,50.296,50.7,8441133
2018-07-02,50.25,50.44,49.7,50.42,13141150
2018-06-29,50.73,50.85,50.08,50.31,18023396
2018-06-28,49.43,51.05,49.41,50.86,21605504
2018-06-27,49.18,49.73,49.01,49.31,14144341
2018-06-26,49.62,49.75,49.0748,49.3,13596951
2018-06-25,49.84,50.04,49.29,49.6,19301887
2018-06-22,48.96,49.93,48.84,49.76,40979879
2018-06-21,48.87,49.0,48.3759,48.63,14854566
2018-06-20,48.64,48.66,47.81,48.09,11996803
2018-06-19,47.67,48.78,47.52,48.5,25069984
2018-06-18,47.9,48.0,47.13,47.46,15330399
2018-06-15,47.77,48.06,47.62,48.06,31397975
2018-06-14,47.76,47.89,47.3,47.82,17568389
2018-06-13,48.45,48.55,47.38,47.4,30809380
2018-06-12,49.58,49.64,48.66,48.81,15597889
2018-06-11,49.49,49.8,49.26,49.3,14143689
2018-06-08,48.45,49.2,48.43,49.18,15399258
2018-06-07,47.96,49.26,47.85,49.01,19674255
2018-06-06,48.16,48.44,47.79,48.41,12924849
2018-06-05,47.78,48.19,47.77,47.97,10378001
2018-06-04,48.05,48.16,47.73,47.82,9012564
2018-06-01,47.89,48.0,47.61,47.81,9967144
2018-05-31,48.52,48.53,47.515,47.67,27288271
2018-05-30,48.49,48.72,48.24,48.6,10459125
2018-05-29,48.3,48.455,47.86,48.2,13035266
2018-05-25,48.59,48.65,48.24,48.52,7947952
2018-05-24,48.89,49.0,48.47,48.64,13580440
2018-05-23,48.74,48.975,48.33,48.59,14027780
2018-05-22,48.33,49.305,48.26,48.81,18539779
2018-05-21,47.79,48.5,47.74,48.43,8588842
2018-05-18,47.84,47.89,47.32,47.74,11384434
2018-05-17,47.86,48.0399,47.66,47.85,8907477
2018-05-16,47.79,48.09,47.66,47.86,9798768
2018-05-15,48.15,48.285,47.62,47.79,12655376
2018-05-14,48.67,48.9,48.28,48.49,10362551
2018-05-11,48.07,49.07,47.92,48.62,22872785
2018-05-10,46.68,47.29,46.52,47.2,15727538
2018-05-09,47.0,47.18,46.085,46.38,23083283
2018-05-08,47.54,47.6,46.73,47.02,16716868
2018-05-07,48.18,48.32,47.565,47.73,12892149
2018-05-04,47.5,48.32,47.49,48.19,10669251
2018-05-03,47.72,47.855,47.36,47.84,16114050
2018-05-02,48.79,48.86,47.485,47.75,18515922
2018-05-01,49.49,49.65,48.24,48.82,16101415
2018-04-30,51.4,51.65,49.34,49.35,28938874
2018-04-27,50.25,51.69,50.16,51.57,25986194
2018-04-26,49.6,50.04,49.44,49.76,14121924
2018-04-25,50.06,50.16,49.24,50.1,19892453
2018-04-24,49.92,50.39,49.14,49.67,20920383
2018-04-23,48.2,48.72,47.97,48.66,14211613
2018-04-20,48.31,48.62,47.21,47.9,18224650
2018-04-19,48.6,48.96,48.38,48.43,11174180
2018-04-18,49.0,49.06,48.57,48.62,8347722
2018-04-17,48.59,49.035,48.31,48.85,11575542
2018-04-16,47.95,48.46,47.86,48.39,8885499
2018-04-13,47.91,47.98,47.51,47.66,7301958
2018-04-12,47.87,48.14,47.44,47.74,8837914
2018-04-11,47.93,47.99,47.48,47.58,11695589
2018-04-10,47.2,48.97,46.985,48.27,24445280
2018-04-09,47.03,47.5,46.8032,46.92,13475316
2018-04-06,48.1,48.28,47.27,47.48,16071594
2018-04-05,47.98,48.345,47.6762,48.24,13201329
2018-04-04,47.16,47.99,46.9,47.93,12376358
2018-04-03,47.22,47.53,46.71,47.5,14841286
2018-04-02,47.62,47.9399,46.72,47.16,16511150
2018-03-29,48.2,48.73,47.57,47.82,17305531
2018-03-28,47.89,48.56,47.83,48.0,17727973
2018-03-27,47.1,47.9024,46.84,47.31,13995096
