timestamp,open,high,low,close,volume
2018-08-07,31.66,32.17,31.52,31.57,20708520
2018-08-06,31.14,31.46,31.07,31.34,10412568
2018-08-03,30.98,31.22,30.79,31.14,8950379
2018-08-02,30.19,31.37,29.44,30.98,17680598
2018-08-01,29.64,30.12,29.38,30.07,9095018
2018-07-31,29.61,29.91,29.27,29.75,12497201
2018-07-30,29.31,29.59,29.17,29.57,7056926
2018-07-27,29.25,29.61,28.93,29.1,8678518
2018-07-26,29.39,29.54,29.115,29.46,6734168
2018-07-25,29.12,29.61,29.12,29.44,9052011
2018-07-24,28.84,29.34,28.76,29.18,10811642
2018-07-23,28.85,28.995,28.54,28.8,7160059
2018-07-20,28.77,28.96,28.73,28.8,7448281
2018-07-19,28.27,29.13,28.13,28.69,13741445
2018-07-18,26.88,27.77,26.86,27.76,9016942
2018-07-17,27.25,27.325,26.95,26.97,8014899
2018-07-16,27.06,27.36,26.92,27.25,5967342
2018-07-13,27.11,27.465,27.035,27.32,6637794
2018-07-12,27.46,27.72,26.8101,27.17,8308635
2018-07-11,27.4,27.66,27.29,27.49,8128719
2018-07-10,27.65,27.77,27.39,27.51,5314680
2018-07-09,27.74,27.875,27.535,27.57,5042474
2018-07-06,27.31,27.69,27.3,27.58,5491160
2018-07-05,27.35,27.68,27.155,27.42,5304854
2018-07-03,26.92,27.28,26.9,27.04,2978852
2018-07-02,26.81,27.01,26.51,26.7,6812910
2018-06-29,27.32,27.34,26.9238,27.11,9774783
2018-06-28,27.1,27.34,26.8101,27.17,6425610
2018-06-27,27.4,27.515,26.99,27.06,6920122
2018-06-26,27.03,27.25,26.87,27.17,7716146
2018-06-25,27.58,27.65,26.83,26.91,7797349
2018-06-22,28.15,28.21,27.6,27.64,13077029
2018-06-21,27.62,27.77,27.53,27.69,9841083
2018-06-20,27.39,27.74,27.28,27.71,6790930
2018-06-19,26.87,27.31,26.79,27.2,7096809
2018-06-18,26.69,27.12,26.67,27.09,11649334
2018-06-15,27.14,27.345,26.61,26.67,13225920
2018-06-14,26.75,27.41,26.67,27.21,8796914
