Symbol,Name,Sector,price_count,intraday_mean,intraday_stddev
MMM,3M Company,Industrials,5942.0000,0.0133,0.0085
AOS,A.O. Smith Corp,Industrials,5942.0000,0.0164,0.0090
ABT,Abbott Laboratories,Health Care,5942.0000,0.0143,0.0073
ABBV,AbbVie Inc.,Health Care,1410.0000,0.0207,0.0140
ACN,Accenture plc,Information Technology,4290.0000,0.0133,0.0073
ATVI,Activision Blizzard,Information Technology,5942.0000,0.0238,0.0124
AYI,Acuity Brands Inc,Industrials,4199.0000,0.0257,0.0155
ADBE,Adobe Systems Inc,Information Technology,5942.0000,0.0187,0.0114
AAP,Advance Auto Parts,Consumer Discretionary,4201.0000,0.0271,0.0155
AMD,Advanced Micro Devices Inc,Information Technology,5942.0000,0.0400,0.0194
AES,AES Corp,Utilities,5942.0000,0.0193,0.0090
AET,Aetna Inc,Health Care,5942.0000,0.0143,0.0104
AMG,Affiliated Managers Group Inc,Financials,5210.0000,0.0196,0.0096
AFL,AFLAC Inc,Financials,5942.0000,0.0124,0.0070
A,Agilent Technologies Inc,Health Care,4709.0000,0.0158,0.0082
APD,Air Products & Chemicals Inc,Materials,5942.0000,0.0129,0.0070
AKAM,Akamai Technologies Inc,Information Technology,4723.0000,0.0196,0.0117
ALK,Alaska Air Group Inc,Industrials,4421.0000,0.0240,0.0128
ALB,Albemarle Corp,Materials,5942.0000,0.0224,0.0133
ARE,Alexandria Real Estate Equities Inc,Real Estate,5335.0000,0.0148,0.0070
ALXN,Alexion Pharmaceuticals,Health Care,5650.0000,0.0282,0.0147
ALGN,Align Technology,Health Care,4408.0000,0.0281,0.0167
ALLE,Allegion,Industrials,1188.0000,0.0166,0.0085
AGN,"Allergan, Plc",Health Care,5942.0000,0.0223,0.0132
ADS,Alliance Data Systems,Information Technology,4313.0000,0.0205,0.0118
LNT,Alliant Energy Corp,Utilities,5942.0000,0.0135,0.0060
ALL,Allstate Corp,Financials,5942.0000,0.0134,0.0081
GOOGL,Alphabet Inc Class A,Information Technology,3517.0000,0.0164,0.0094
GOOG,Alphabet Inc Class C,Information Technology,1100.0000,0.0160,0.0093
MO,Altria Group Inc,Consumer Staples,5942.0000,0.0155,0.0129
AMZN,Amazon.com Inc.,Consumer Discretionary,5343.0000,0.0177,0.0125
AEE,Ameren Corp,Utilities,5183.0000,0.0137,0.0061
AAL,American Airlines Group,Industrials,3238.0000,0.0260,0.0124
AEP,American Electric Power,Utilities,5942.0000,0.0128,0.0054
AXP,American Express Co,Financials,5942.0000,0.0141,0.0087
AIG,"American International Group, Inc.",Financials,5942.0000,0.0149,0.0073
AMT,American Tower Corp A,Real Estate,5145.0000,0.0169,0.0087
AWK,American Water Works Company Inc,Utilities,2592.0000,0.0140,0.0061
AMP,Ameriprise Financial,Financials,3246.0000,0.0189,0.0096
ABC,AmerisourceBergen Corp,Health Care,5878.0000,0.0234,0.0130
AME,AMETEK Inc.,Industrials,5942.0000,0.0140,0.0076
AMGN,Amgen Inc.,Health Care,5942.0000,0.0172,0.0086
APH,Amphenol Corp,Information Technology,5942.0000,0.0130,0.0073
APC,Anadarko Petroleum Corp,Energy,5942.0000,0.0248,0.0105
ADI,"Analog Devices, Inc.",Information Technology,5942.0000,0.0189,0.0094
ANDV,Andeavor,Energy,5942.0000,0.0222,0.0110
ANSS,ANSYS,Information Technology,5570.0000,0.0184,0.0101
ANTM,Anthem Inc.,Health Care,4427.0000,0.0180,0.0096
AON,Aon plc,Financials,5942.0000,0.0132,0.0067
APA,Apache Corporation,Energy,5942.0000,0.0287,0.0127
AIV,Apartment Investment & Management,Real Estate,5942.0000,0.0150,0.0065
AAPL,Apple Inc.,Information Technology,5942.0000,0.0149,0.0087
AMAT,Applied Materials Inc.,Information Technology,5942.0000,0.0253,0.0141
APTV,Aptiv Plc,Consumer Discretionary,1684.0000,0.0197,0.0102
ADM,Archer-Daniels-Midland Co,Consumer Staples,5942.0000,0.0156,0.0075
ARNC,Arconic Inc.,Industrials,5942.0000,0.0249,0.0147
AJG,Arthur J. Gallagher & Co.,Financials,5942.0000,0.0133,0.0069
AIZ,Assurant Inc.,Financials,3652.0000,0.0178,0.0090
T,AT&T Inc.,Telecommunication Services,5942.0000,0.0148,0.0075
ADSK,Autodesk Inc.,Information Technology,5942.0000,0.0240,0.0121
ADP,Automatic Data Processing,Information Technology,5942.0000,0.0159,0.0111
AZO,AutoZone Inc,Consumer Discretionary,5942.0000,0.0225,0.0141
AVB,"AvalonBay Communities, Inc.",Real Estate,5942.0000,0.0148,0.0072
AVY,Avery Dennison Corp,Materials,5942.0000,0.0147,0.0084
BHGE,"Baker Hughes, a GE Company",Energy,276.0000,0.0301,0.0147
BLL,Ball Corp,Materials,5942.0000,0.0153,0.0083
BAC,Bank of America Corp,Financials,5942.0000,0.0182,0.0099
BAX,Baxter International Inc.,Health Care,5942.0000,0.0142,0.0075
BBT,BB&T Corporation,Financials,5942.0000,0.0169,0.0086
BDX,Becton Dickinson,Health Care,5942.0000,0.0150,0.0087
BRK.B,Berkshire Hathaway,Financials,5600.0000,0.0123,0.0078
BBY,Best Buy Co. Inc.,Consumer Discretionary,5942.0000,0.0230,0.0118
BIIB,Biogen Inc.,Health Care,5942.0000,0.0222,0.0110
BLK,BlackRock,Financials,4743.0000,0.0162,0.0091
HRB,Block H&R,Financials,5942.0000,0.0234,0.0124
BA,Boeing Company,Industrials,5942.0000,0.0178,0.0113
BKNG,Booking Holdings Inc,Consumer Discretionary,4871.0000,0.0158,0.0084
BWA,BorgWarner,Consumer Discretionary,5942.0000,0.0211,0.0109
BXP,Boston Properties,Real Estate,5320.0000,0.0158,0.0074
BSX,Boston Scientific,Health Care,5942.0000,0.0174,0.0125
BHF,Brighthouse Financial Inc,Financials,268.0000,0.0266,0.0133
BMY,Bristol-Myers Squibb,Health Care,5942.0000,0.0179,0.0105
AVGO,Broadcom,Information Technology,2267.0000,0.0225,0.0115
CHRW,C. H. Robinson Worldwide,Industrials,5236.0000,0.0180,0.0083
CA,"CA, Inc.",Information Technology,5942.0000,0.0148,0.0103
COG,Cabot Oil & Gas,Energy,5942.0000,0.0244,0.0106
CDNS,Cadence Design Systems,Information Technology,5942.0000,0.0176,0.0095
CPB,Campbell Soup,Consumer Staples,5942.0000,0.0192,0.0098
COF,Capital One Financial,Financials,5942.0000,0.0183,0.0089
CAH,Cardinal Health Inc.,Health Care,5942.0000,0.0213,0.0123
KMX,Carmax Inc,Consumer Discretionary,5413.0000,0.0222,0.0115
CCL,Carnival Corp.,Consumer Discretionary,5942.0000,0.0155,0.0082
CAT,Caterpillar Inc.,Industrials,5942.0000,0.0193,0.0121
CBOE,Cboe Global Markets,Financials,2052.0000,0.0180,0.0125
CBRE,CBRE Group,Real Estate,99.0000,0.0184,0.0112
CBS,CBS Corp.,Consumer Discretionary,3190.0000,0.0226,0.0113
CELG,Celgene Corp.,Health Care,5942.0000,0.0211,0.0104
CNC,Centene Corporation,Health Care,4191.0000,0.0228,0.0119
CNP,CenterPoint Energy,Utilities,5942.0000,0.0146,0.0073
CTL,CenturyLink Inc,Telecommunication Services,5942.0000,0.0270,0.0151
CERN,Cerner,Health Care,5942.0000,0.0184,0.0095
CF,CF Industries Holdings Inc,Materials,3270.0000,0.0304,0.0131
SCHW,Charles Schwab Corporation,Financials,5942.0000,0.0205,0.0102
CHTR,Charter Communications,Consumer Discretionary,2163.0000,0.0240,0.0118
CVX,Chevron Corp.,Energy,5942.0000,0.0149,0.0083
CMG,Chipotle Mexican Grill,Consumer Discretionary,3155.0000,0.0258,0.0128
CB,Chubb Limited,Financials,5942.0000,0.0137,0.0075
CHD,Church & Dwight,Consumer Staples,5942.0000,0.0148,0.0077
CI,CIGNA Corp.,Health Care,5942.0000,0.0170,0.0091
XEC,Cimarex Energy,Energy,3995.0000,0.0257,0.0116
CINF,Cincinnati Financial,Financials,5942.0000,0.0155,0.0085
CTAS,Cintas Corporation,Industrials,5942.0000,0.0148,0.0089
CSCO,Cisco Systems,Information Technology,5942.0000,0.0157,0.0092
C,Citigroup Inc.,Financials,5942.0000,0.0171,0.0085
CFG,Citizens Financial Group,Financials,975.0000,0.0226,0.0100
CTXS,Citrix Systems,Information Technology,5705.0000,0.0172,0.0096
CME,CME Group Inc.,Financials,3944.0000,0.0165,0.0085
CMS,CMS Energy,Utilities,5942.0000,0.0127,0.0060
KO,Coca-Cola Company (The),Consumer Staples,5942.0000,0.0104,0.0055
CTSH,Cognizant Technology Solutions,Information Technology,5067.0000,0.0149,0.0072
CL,Colgate-Palmolive,Consumer Staples,5942.0000,0.0130,0.0071
CMCSA,Comcast Corp.,Consumer Discretionary,5942.0000,0.0201,0.0101
CMA,Comerica Inc.,Financials,5942.0000,0.0206,0.0090
CAG,Conagra Brands,Consumer Staples,5942.0000,0.0159,0.0075
CXO,Concho Resources,Energy,2773.0000,0.0253,0.0123
COP,ConocoPhillips,Energy,5942.0000,0.0208,0.0085
ED,Consolidated Edison,Utilities,5942.0000,0.0126,0.0054
STZ,Constellation Brands,Consumer Staples,5942.0000,0.0144,0.0070
GLW,Corning Inc.,Information Technology,5942.0000,0.0159,0.0093
COST,Costco Wholesale Corp.,Consumer Staples,5942.0000,0.0143,0.0072
COTY,"Coty, Inc",Consumer Staples,1298.0000,0.0247,0.0145
CCI,Crown Castle International Corp.,Real Estate,5026.0000,0.0166,0.0088
CSRA,CSRA Inc.,Information Technology,590.0000,0.0164,0.0109
CSX,CSX Corp.,Industrials,5942.0000,0.0207,0.0097
CMI,Cummins Inc.,Industrials,5942.0000,0.0171,0.0093
